.metric,.estimator,mean,n,std_err,.config
accuracy,binary,0.6278902811963899,5,0.007582868718784162,pre0_mod0_post0
bal_accuracy,binary,0.571577583665045,5,0.005798139767263424,pre0_mod0_post0
f_meas,binary,0.7305119903032904,5,0.007365293044995515,pre0_mod0_post0
pr_auc,binary,0.688486756056492,5,0.003361883680234007,pre0_mod0_post0
roc_auc,binary,0.606312784872721,5,0.0062432403766990935,pre0_mod0_post0
sens,binary,0.827812030075188,5,0.014189753136322033,pre0_mod0_post0
spec,binary,0.315343137254902,5,0.0037545846508068637,pre0_mod0_post0
