threshold,sensitivity,specificity,precision,f1,bal_accuracy,youden
0.01,1,0.9148648648648648,0.732484076433121,0.8455882352941175,0.9574324324324324,0.9148648648648647
0.02,0.9855072463768116,0.9371621621621622,0.7852193995381063,0.8740359897172237,0.9613347042694869,0.9226694085389737
0.03,0.9855072463768116,0.9445945945945946,0.8056872037914692,0.8865710560625815,0.9650509204857032,0.9301018409714064
0.04,0.9855072463768116,0.952027027027027,0.8272506082725061,0.8994708994708994,0.9687671367019193,0.9375342734038385
0.05,0.9855072463768116,0.9574324324324325,0.8436724565756824,0.9090909090909092,0.9714698394046221,0.9429396788092441
0.060000000000000005,0.9855072463768116,0.9621621621621622,0.8585858585858586,0.9176788124156546,0.9738347042694869,0.9476694085389739
0.06999999999999999,0.9855072463768116,0.9702702702702702,0.8854166666666666,0.9327846364883402,0.9778887583235409,0.9557775166470819
0.08,0.9855072463768116,0.9743243243243244,0.8994708994708994,0.9405255878284924,0.979915785350568,0.959831570701136
0.09,0.9855072463768116,0.977027027027027,0.9090909090909091,0.9457579972183588,0.9812671367019193,0.9625342734038387
0.09999999999999999,0.9855072463768116,0.9783783783783784,0.9139784946236559,0.9483960948396095,0.9819428123775951,0.9638856247551901
0.11,0.9855072463768116,0.9804054054054054,0.9214092140921409,0.9523809523809523,0.9829563258911085,0.965912651782217
0.12,0.9855072463768116,0.9824324324324324,0.9289617486338798,0.9563994374120957,0.983969839404622,0.967939678809244
0.13,0.9855072463768116,0.9831081081081081,0.9315068493150684,0.9577464788732394,0.9843076772424599,0.9686153544849199
0.14,0.9855072463768116,0.9851351351351352,0.9392265193370166,0.9618104667609618,0.9853211907559734,0.9706423815119467
0.15000000000000002,0.9855072463768116,0.9871621621621621,0.947075208913649,0.9659090909090909,0.9863347042694869,0.9726694085389738
0.16,0.9855072463768116,0.9898648648648649,0.9577464788732394,0.9714285714285714,0.9876860556208382,0.9753721112416764
0.17,0.9855072463768116,0.9912162162162163,0.9631728045325779,0.9742120343839542,0.988361731296514,0.9767234625930279
0.18000000000000002,0.9855072463768116,0.9932432432432432,0.9714285714285714,0.9784172661870504,0.9893752448100275,0.978750489620055
0.19,0.9855072463768116,0.9932432432432432,0.9714285714285714,0.9784172661870504,0.9893752448100275,0.978750489620055
