.metric,.estimator,mean,n,std_err,.config,model
accuracy,binary,0.8296131062569418,25,0.004952782691920679,pre0_mod0_post0,Low-cost field-sensor RF
bal_accuracy,binary,0.5844950642577761,25,0.009720123667738643,pre0_mod0_post0,Low-cost field-sensor RF
f_meas,binary,0.9030274239026894,25,0.002843687995746232,pre0_mod0_post0,Low-cost field-sensor RF
pr_auc,binary,0.8864538665115849,25,0.006591421822961553,pre0_mod0_post0,Low-cost field-sensor RF
roc_auc,binary,0.6852398956975229,25,0.015784638763974398,pre0_mod0_post0,Low-cost field-sensor RF
sens,binary,0.9784406779661017,25,0.004385108964594143,pre0_mod0_post0,Low-cost field-sensor RF
spec,binary,0.19054945054945055,25,0.01877191992470943,pre0_mod0_post0,Low-cost field-sensor RF
