prob_bin,mean_predicted,observed,n
1,0.0250242802083383,0.12568306010928962,183
2,0.05521792057331499,0.12021857923497267,183
3,0.08209292276552267,0.09289617486338798,183
4,0.10908271691494253,0.09289617486338798,183
5,0.13595692347888327,0.1092896174863388,183
6,0.16712238007563948,0.19230769230769232,182
7,0.20327628099820147,0.15384615384615385,182
8,0.24865664998336987,0.22527472527472528,182
9,0.31768451239546847,0.29120879120879123,182
10,0.6358781334746018,0.489010989010989,182
