threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.18834371108343712,0.1808495918084959,0
0.02,0.18526139222812413,0.17249091417388873,0
0.03,0.18491173563056068,0.16395989267052677,0
0.04,0.18468036529680368,0.1552511415525114,0
0.05,0.18448449891852922,0.14635904830569574,0
0.060000000000000005,0.18434275721364035,0.13727776158554356,0
0.06999999999999999,0.18448666961260865,0.12800117837678598,0
0.08,0.18449076831447292,0.11852293031566409,0
0.09,0.1844588288423905,0.10883636911034172,0
0.09999999999999999,0.1843531202435312,0.09893455098934552,0
0.11,0.1843373864860705,0.08881022010158535,0
0.12,0.18435865504358656,0.07845579078455792,0
0.13,0.18425444811840655,0.06786332860966776,0
0.14,0.18433896145269196,0.05702453010512901,0
0.15000000000000002,0.184464141821112,0.045930701047542266,0
0.16,0.1847358121330724,0.03457273320287019,0
0.17,0.18484238323155638,0.02294107938603729,0
0.18000000000000002,0.18509856331440028,0.0110257266956231,0
0.19,0.18501606629460512,-0.0011838322340605445,0
0.2,0.18534246575342467,-0.0136986301369863,0
0.21000000000000002,0.18528177561990639,-0.026530258366568416,0
0.22,0.1852195293291184,-0.03969090270460132,0
0.23,0.18531933819605054,-0.05319338196050524,0
0.24000000000000002,0.18434030281182406,-0.06705118961788037,0
0.25,0.18429223744292236,-0.08127853881278535,0
0.26,0.18424287300999628,-0.0958904109589041,0
0.27,0.18364421092137362,-0.1109026083693001,0
0.28,0.1830441400304414,-0.12633181126331816,0
0.29000000000000004,0.18299054601582096,-0.14219563959097054,0
0.3,0.18293542074363991,-0.15851272015655582,0
0.31,0.18287869763748263,-0.17530275957911462,0
0.32,0.18282030620467365,-0.19258662369057217,0
0.33,0.18276017174401962,-0.2103864240441628,0
0.34,0.18269821502698216,-0.22872561228725619,0
0.35000000000000003,0.18263435194942046,-0.2476290832455217,0
0.36000000000000004,0.18256849315068494,-0.26712328767123295,0
0.37,0.182500543596434,-0.28723635572950645,0
0.38,0.18243040212107822,-0.30799823243482105,0
0.39,0.18235796092521897,-0.3294408264091624,0
0.4,0.18228310502283104,-0.35159817351598177,0
0.41000000000000003,0.18220571163222662,-0.37450661713489675,0
0.42000000000000004,0.1821256495040151,-0.39820500708549844,0
0.43,0.1820427781783225,-0.422734919490507,0
0.44,0.1819569471624266,-0.44814090019569475,0
0.45,0.18186799501867995,-0.47447073474470725,0
0.46,0.1817757483510908,-0.5017757483510908,0
0.47000000000000003,0.18168002067717756,-0.5301111398294133,0
0.48000000000000004,0.18158061116965227,-0.559536354056902,0
0.49,0.18147730325006717,-0.590115498254096,0
0.5,0.18136986301369865,-0.6219178082191781,0
0.51,0.18125803746155997,-0.6550181716522225,0
0.52,0.18114155251141553,-0.6894977168949773,0
0.53,0.18102011075488197,-0.725444476828913,0
0.54,0.18089338892197737,-0.762954139368672,0
0.55,0.18076103500761034,-0.8021308980213092,0
0.56,0.18062266500622665,-0.8430884184308844,0
0.5700000000000001,0.1804778591908251,-0.8859509397897423,0
0.5800000000000001,0.18032615786040443,-0.93085453359426,0
0.59,0.1801670564650852,-0.9779485466087536,0
0.6,0.18,-1.0273972602739725,0
0.61,0.1798243765367053,-1.0793818054092026,0
0.62,0.1796395097332372,-1.1341023792357605,0
0.63,0.17944465012958163,-1.191780821917808,0
0.64,0.17923896499238964,-1.2526636225266363,0
0.65,0.1790215264187867,-1.3170254403131119,0
0.66,0.17879129734085417,-1.3851732473811444,0
0.67,0.17854711498547116,-1.4574512245745126,0
0.68,0.17773972602739727,-1.5342465753424661,0
0.6900000000000001,0.1774635439681838,-1.6159964648696425,0
0.7000000000000001,0.1760730593607306,-1.703196347031964,0
0.7100000000000001,0.17521020311761926,-1.7964100141709975,0
0.72,0.1732289628180039,-1.896281800391389,0
0.73,0.1728665651953323,-2.0035514967021815,0
0.74,0.17247629083245522,-2.119072708113804,0
0.75,0.1715068493150685,-2.243835616438356,0
0.76,0.17105022831050226,-2.378995433789955,0
0.77,0.17055390113162597,-2.5259082787373437,0
0.78,0.17389788293897881,-2.686176836861769,0
0.79,0.17354207436399216,-2.86170906718852,0
0.8,0.17315068493150684,-3.0547945205479463,0
0.81,0.1739581831290555,-3.268204758471522,0
0.8200000000000001,0.173089802130898,-3.505327245053274,0
0.8300000000000001,0.17218372280419017,-3.7703464947622907,0
0.8400000000000001,0.17410958904109589,-4.068493150684935,0
0.85,0.17534246575342466,-4.406392694063927,0
0.86,0.1736986301369863,-4.7925636007827785,0
0.87,0.1715068493150685,-5.238145416227607,0
0.88,0.16821917808219178,-5.75799086757991,0
0.89,0.16547945205479453,-6.372353673723538,0
0.9,0.15945205479452054,-7.109589041095892,0
0.91,0.15013698630136987,-8.010654490106546,0
0.92,0.13863013698630136,-9.136986301369868,0
0.93,0.1304109589041096,-10.585127201565564,0
0.9400000000000001,0.11616438356164384,-12.51598173515983,0
0.9500000000000001,0.10575342465753425,-15.219178082191803,0
0.9600000000000001,0.09315068493150686,-19.273972602739764,0
0.97,0.08054794520547945,-26.031963470319614,0
0.98,0.06027397260273973,-39.547945205479415,0
0.99,0.030136986301369864,-80.09589041095883,0
